Monthly_Charge,Tenure_Months,Num_Support_Tickets,Plan_Type,Contract_Type,Customer_Feedback,Churn
92.76,33,8,Enterprise,Two Year,I love it.,0
59.39,14,4,Enterprise,One Year,I love it.,0
57.02,36,9,Pro,One Year,I love it.,0
137.44,19,5,Pro,Two Year,Okay value.,0
85.12,39,9,Basic,Month-to-Month,Keeps crashing.,1
123.4,58,10,Enterprise,Two Year,Great service!,0
83.07,21,7,Enterprise,Two Year,Excellent features.,0
26.31,35,0,Enterprise,Month-to-Month,Great service!,0
100.1,44,8,Basic,One Year,I love it.,0
81.66,65,3,Pro,Two Year,Okay value.,0
46.33,50,8,Basic,Two Year,I love it.,0
93.18,51,10,Basic,One Year,Great service!,0
28.84,9,3,Enterprise,Month-to-Month,Excellent features.,0
114.87,46,6,Basic,Two Year,Great service!,0
46.43,10,5,Basic,Month-to-Month,Okay value.,0
20.55,41,6,Pro,One Year,Great service!,0
149.94,45,2,Basic,Month-to-Month,Excellent features.,0
110.35,24,10,Enterprise,Month-to-Month,Support is slow.,1
149.99,40,6,Basic,Month-to-Month,I love it.,0
137.86,27,0,Pro,One Year,I love it.,0
75.36,51,8,Enterprise,One Year,Great service!,0
122.84,71,7,Pro,Two Year,I love it.,0
110.9,43,0,Enterprise,One Year,Great service!,0
33.3,61,2,Enterprise,Month-to-Month,Great service!,0
92.87,4,1,Basic,Month-to-Month,Keeps crashing.,1
96.1,38,3,Enterprise,Month-to-Month,Excellent features.,0
142.62,15,0,Pro,Month-to-Month,I love it.,0
143.94,62,7,Enterprise,Two Year,Horrible experience.,1
97.96,21,1,Basic,One Year,Okay value.,0
103.1,43,9,Pro,Month-to-Month,Horrible experience.,1
29.68,24,7,Pro,Month-to-Month,I love it.,0
25.95,64,3,Pro,One Year,I love it.,0
133.45,34,0,Pro,One Year,Excellent features.,0
42.81,29,4,Basic,Two Year,Horrible experience.,1
106.59,11,6,Enterprise,One Year,Okay value.,0
139.03,24,2,Enterprise,Two Year,Okay value.,0
66.99,33,1,Enterprise,One Year,Great service!,0
125.05,52,4,Pro,One Year,Excellent features.,0
48.97,20,1,Enterprise,One Year,I love it.,0
23.92,2,10,Basic,Two Year,Keeps crashing.,1
109.82,57,9,Enterprise,One Year,Great service!,0
83.02,24,0,Basic,One Year,Keeps crashing.,1
85.01,62,0,Enterprise,Month-to-Month,Okay value.,0
79.14,2,2,Basic,Month-to-Month,Keeps crashing.,1
46.34,23,3,Enterprise,Two Year,Great service!,0
28.97,31,1,Enterprise,One Year,Great service!,0
91.0,55,4,Basic,One Year,Great service!,0
113.45,4,1,Pro,Month-to-Month,I love it.,0
148.2,12,5,Pro,Two Year,Great service!,0
130.83,66,8,Basic,Month-to-Month,Horrible experience.,1
113.97,28,0,Pro,Month-to-Month,Okay value.,0
54.13,13,8,Enterprise,Two Year,Support is slow.,1
111.18,19,2,Basic,Month-to-Month,Horrible experience.,1
79.23,1,0,Enterprise,One Year,Great service!,0
145.13,19,2,Basic,Month-to-Month,I love it.,0
109.42,38,10,Pro,Two Year,Excellent features.,0
141.02,17,9,Pro,Two Year,I love it.,0
138.86,24,2,Basic,One Year,Excellent features.,0
92.16,35,10,Pro,One Year,Too expensive.,1
33.54,27,10,Pro,One Year,Okay value.,0
76.76,47,3,Basic,Two Year,I love it.,0
110.33,59,9,Pro,Month-to-Month,Okay value.,0
105.05,6,6,Enterprise,One Year,Keeps crashing.,1
115.84,4,6,Enterprise,Month-to-Month,Great service!,0
112.33,50,6,Enterprise,One Year,Okay value.,0
46.19,10,7,Pro,One Year,Keeps crashing.,1
33.29,57,7,Pro,One Year,Too expensive.,1
124.74,36,8,Enterprise,One Year,Excellent features.,0
66.6,27,6,Enterprise,Month-to-Month,Too expensive.,1
31.9,42,9,Pro,One Year,Okay value.,0
35.64,39,10,Enterprise,Two Year,I love it.,0
24.24,70,5,Basic,Month-to-Month,I love it.,0
50.37,46,4,Pro,Month-to-Month,Great service!,0
41.67,13,2,Pro,Two Year,I love it.,0
116.1,27,5,Enterprise,One Year,Great service!,0
149.59,71,5,Enterprise,Month-to-Month,Horrible experience.,1
68.89,49,1,Enterprise,Two Year,I love it.,0
29.38,58,10,Enterprise,One Year,I love it.,0
98.72,10,3,Basic,One Year,I love it.,0
51.92,60,10,Basic,Month-to-Month,Keeps crashing.,1
31.91,35,1,Pro,One Year,I love it.,0
98.15,7,6,Pro,Month-to-Month,Support is slow.,1
148.61,13,4,Pro,Month-to-Month,Keeps crashing.,1
148.86,45,1,Pro,One Year,I love it.,0
50.04,3,4,Enterprise,Month-to-Month,I love it.,0
66.21,29,9,Basic,Two Year,Great service!,0
108.61,18,5,Enterprise,Two Year,Horrible experience.,1
142.31,72,9,Pro,One Year,Excellent features.,0
104.8,32,10,Basic,Month-to-Month,Horrible experience.,1
57.57,41,3,Enterprise,One Year,Excellent features.,0
36.16,34,5,Pro,One Year,Excellent features.,0
80.6,5,2,Pro,Month-to-Month,Okay value.,0
75.43,7,6,Enterprise,Month-to-Month,Horrible experience.,1
132.29,6,5,Basic,One Year,Too expensive.,1
129.19,39,8,Pro,Two Year,Excellent features.,0
20.7,62,0,Enterprise,Month-to-Month,Okay value.,0
111.33,69,8,Enterprise,Month-to-Month,Keeps crashing.,1
138.41,31,3,Enterprise,Month-to-Month,Excellent features.,0
78.83,36,7,Basic,Month-to-Month,Okay value.,0
31.95,70,10,Basic,Two Year,Excellent features.,0
73.57,9,8,Pro,Two Year,I love it.,0
31.84,24,6,Enterprise,One Year,Support is slow.,1
85.53,63,0,Basic,Month-to-Month,Great service!,0
139.07,26,0,Enterprise,Month-to-Month,Great service!,0
126.28,60,3,Basic,Two Year,Excellent features.,0
89.64,26,9,Pro,Two Year,I love it.,0
99.6,64,10,Enterprise,Two Year,Great service!,0
61.32,7,0,Basic,One Year,Okay value.,0
20.37,57,10,Basic,One Year,Okay value.,0
49.16,27,7,Basic,Month-to-Month,Excellent features.,0
73.5,63,1,Pro,Two Year,Great service!,0
118.54,18,7,Basic,Two Year,Keeps crashing.,1
27.35,22,9,Enterprise,One Year,Great service!,0
91.98,13,10,Pro,One Year,Great service!,0
63.45,11,8,Basic,One Year,I love it.,0
79.85,65,4,Basic,Month-to-Month,Too expensive.,1
57.91,33,2,Enterprise,Month-to-Month,Excellent features.,0
126.43,23,5,Enterprise,Two Year,Too expensive.,1
44.06,3,6,Pro,Month-to-Month,Support is slow.,1
122.58,51,2,Pro,Month-to-Month,I love it.,0
81.85,20,8,Basic,Two Year,Excellent features.,0
87.92,17,10,Basic,Month-to-Month,Great service!,0
23.39,69,4,Pro,Two Year,Horrible experience.,1
95.8,33,4,Basic,One Year,Keeps crashing.,1
102.9,21,7,Enterprise,Two Year,I love it.,0
77.83,62,0,Enterprise,Two Year,Okay value.,0
82.23,33,8,Basic,Month-to-Month,Too expensive.,1
137.93,9,10,Pro,Two Year,Support is slow.,1
95.98,3,9,Pro,One Year,Too expensive.,1
142.58,54,8,Basic,Month-to-Month,Keeps crashing.,1
78.77,63,3,Basic,Month-to-Month,Too expensive.,1
93.59,70,2,Pro,Month-to-Month,Support is slow.,1
23.75,30,3,Enterprise,Two Year,Great service!,0
84.15,39,7,Enterprise,Two Year,Okay value.,0
100.62,32,6,Pro,One Year,Keeps crashing.,1
67.93,24,4,Pro,Two Year,Too expensive.,1
24.56,68,6,Enterprise,One Year,Too expensive.,1
136.39,57,7,Pro,One Year,Excellent features.,0
74.27,16,7,Pro,Two Year,Excellent features.,0
