Ticket_Price,Runtime_Mins,Genre,Director_Fame,Review_Text,Sentiment
20.48,121,Comedy,9,Boring and predictable garbage.,Negative
21.02,143,Sci-Fi,2,Fell asleep halfway through.,Negative
24.65,155,Sci-Fi,8,Fell asleep halfway through.,Negative
17.25,152,Comedy,1,Absolutely fantastic movie! Best I have seen.,Positive
20.75,144,Sci-Fi,8,Loved every second.,Positive
10.37,113,Action,10,Boring and predictable garbage.,Negative
18.05,110,Drama,10,Boring and predictable garbage.,Negative
11.82,167,Sci-Fi,4,Absolutely awful script.,Negative
11.28,171,Comedy,9,Absolutely awful script.,Negative
15.73,161,Action,10,A triumphant achievement.,Positive
20.14,173,Drama,10,Passable weekend watch.,Neutral
15.37,176,Sci-Fi,6,Great acting and incredible plot.,Positive
20.67,97,Action,9,Passable weekend watch.,Neutral
14.56,133,Comedy,3,Masterpiece of cinema.,Positive
20.92,145,Drama,10,Great acting and incredible plot.,Positive
12.91,102,Drama,1,"Not great, not terrible.",Neutral
13.36,82,Drama,2,Terrible waste of time.,Negative
19.95,167,Comedy,5,Absolutely awful script.,Negative
12.76,145,Drama,6,"Not great, not terrible.",Neutral
12.29,152,Comedy,2,Masterpiece of cinema.,Positive
24.34,165,Action,6,Terrible waste of time.,Negative
23.41,113,Comedy,2,Absolutely awful script.,Negative
23.54,140,Horror,8,Absolutely fantastic movie! Best I have seen.,Positive
21.08,178,Comedy,7,"It was fine, but a bit too long.",Neutral
12.18,141,Sci-Fi,7,Average popcorn flick.,Neutral
13.15,85,Sci-Fi,9,Passable weekend watch.,Neutral
24.83,129,Comedy,3,Fell asleep halfway through.,Negative
13.05,139,Comedy,1,Fell asleep halfway through.,Negative
15.63,120,Horror,3,Masterpiece of cinema.,Positive
22.39,118,Drama,10,Great acting and incredible plot.,Positive
19.92,127,Sci-Fi,5,Passable weekend watch.,Neutral
24.58,172,Horror,4,Masterpiece of cinema.,Positive
21.51,124,Comedy,2,Masterpiece of cinema.,Positive
16.0,152,Drama,6,Fell asleep halfway through.,Negative
16.2,177,Drama,5,Loved every second.,Positive
12.27,180,Action,5,Absolutely awful script.,Negative
24.33,123,Action,1,Absolutely fantastic movie! Best I have seen.,Positive
11.55,103,Sci-Fi,7,Loved every second.,Positive
13.79,161,Drama,7,Absolutely fantastic movie! Best I have seen.,Positive
22.58,155,Horror,5,"It was okay, nothing special.",Neutral
20.72,92,Sci-Fi,2,Fell asleep halfway through.,Negative
12.99,169,Drama,2,Fell asleep halfway through.,Negative
22.47,83,Comedy,1,Great acting and incredible plot.,Positive
18.78,176,Action,10,Loved every second.,Positive
13.72,107,Action,8,Fell asleep halfway through.,Negative
17.25,126,Drama,4,A triumphant achievement.,Positive
16.65,156,Sci-Fi,2,"Not great, not terrible.",Neutral
11.98,158,Action,2,"Not great, not terrible.",Neutral
13.64,110,Drama,7,Absolutely fantastic movie! Best I have seen.,Positive
